"Volcano.Number","Volcano.Name","Eruption.Number","Eruption.Category","Area.of.Activity","VEI","VEI.Modifier","Start.Year.Modifier","Start.Year","Start.Year.Uncertainty","Start.Month","Start.Day.Modifier","Start.Day","Start.Day.Uncertainty","Evidence.Method..dating.","End.Year.Modifier","End.Year","End.Year.Uncertainty","End.Month","End.Day.Modifier","End.Day","End.Day.Uncertainty","Country"
241040,"Whakaari/White Island",14472,"Confirmed Eruption","Little Donald vent","2","NULL","NULL",1926,"NULL","2","NULL","3","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241040,"Whakaari/White Island",14387,"Confirmed Eruption","Foot of crater ridge (1933 crater)","3","NULL","NULL",1933,"NULL","4","NULL","2","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241050,"Okataina",14518,"Confirmed Eruption","Waimangu (Echo Crater)","1","NULL","NULL",1915,"NULL","11","NULL","5","NULL","Observations: Reported","NULL","1915","NULL","11","NULL","9","NULL","New Zealand"
241050,"Okataina",14516,"Confirmed Eruption","Waimangu (NW of Fairy Crater)","1","NULL","NULL",1914,"NULL","1","NULL","28","NULL","Observations: Reported","NULL","1914","NULL","2","NULL","0","NULL","New Zealand"
241050,"Okataina",14519,"Confirmed Eruption","Waimangu (Echo Crater)","1","NULL","NULL",1917,"NULL","3","NULL","24","NULL","Observations: Reported","NULL","1917","NULL","4","NULL","4","NULL","New Zealand"
241050,"Okataina",14507,"Confirmed Eruption","Waimangu (Echo Crater)","1","?","NULL",1896,"NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241050,"Okataina",14523,"Confirmed Eruption","Rotomahana","1","NULL","NULL",1951,"NULL","6","NULL","16","15","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241050,"Okataina",14501,"Confirmed Eruption","Haroharo (Rotokawau to Rotoatua)","4","+","?",-1750,"NULL","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241050,"Okataina",14509,"Confirmed Eruption","Waimangu (Echo Crater)","1","NULL","NULL",1905,"NULL","2","NULL","18","NULL","Observations: Reported","NULL","1905","NULL","2","NULL","23","NULL","New Zealand"
241050,"Okataina",14514,"Confirmed Eruption","Waimangu (Echo Crater)","1","NULL","NULL",1912,"NULL","4","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241050,"Okataina",14522,"Confirmed Eruption","Rotomahana","1","NULL","NULL",1926,"NULL","11","NULL","17","NULL","Observations: Reported","NULL","1926","NULL","11","NULL","18","NULL","New Zealand"
241050,"Okataina",14520,"Confirmed Eruption","Waimangu (Echo Crater)","1","NULL","NULL",1918,"NULL","0","NULL","0","NULL","Observations: Reported","NULL","1920","NULL","0","NULL","0","NULL","New Zealand"
241050,"Okataina",14506,"Confirmed Eruption","Tarawera (Wahanga-Waimangu fissure)","5","NULL","NULL",1886,"NULL","6","NULL","10","NULL","Observations: Reported","NULL","1886","NULL","8","NULL","0","NULL","New Zealand"
241050,"Okataina",14496,"Confirmed Eruption","West Rerewhakaaitu fissures","NULL","NULL","?",-8050,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241050,"Okataina",14512,"Confirmed Eruption","Waimangu (Echo Crater)","1","NULL","NULL",1908,"NULL","10","NULL","1","NULL","Observations: Reported","NULL","1908","NULL","10","NULL","1","NULL","New Zealand"
241050,"Okataina",14517,"Confirmed Eruption","Waimangu (Echo Crater & NW of Fairy Crater)","1","NULL","NULL",1915,"NULL","2","NULL","4","NULL","Observations: Reported","NULL","1915","NULL","4","NULL","13","NULL","New Zealand"
241050,"Okataina",14526,"Confirmed Eruption","Waimangu (Raupo Pond crater)","1","NULL","NULL",1981,"NULL","5","NULL","16","15","Observations: Reported","NULL","1981","NULL","5","NULL","16","15","New Zealand"
241050,"Okataina",14498,"Confirmed Eruption","Haroharo (Te Horoa & other domes)","5","NULL","NULL",-6060,"50","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241050,"Okataina",14499,"Confirmed Eruption","Mt. Edgecumbe","0","NULL","?",-5550,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241050,"Okataina",14508,"Confirmed Eruption","Waimangu Geyser","1","NULL","NULL",1900,"NULL","1","NULL","0","NULL","Observations: Reported","NULL","1904","NULL","11","NULL","1","NULL","New Zealand"
241050,"Okataina",14513,"Confirmed Eruption","Waimangu (Echo Crater)","1","NULL","NULL",1910,"NULL","7","NULL","24","NULL","Observations: Reported","NULL","1910","NULL","7","NULL","25","NULL","New Zealand"
241050,"Okataina",14497,"Confirmed Eruption","Rotoma caldera, Tuahu, Kawerau","5","NULL","NULL",-7560,"18","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241050,"Okataina",14511,"Confirmed Eruption","Waimangu (NW of Fairy Crater)","1","NULL","NULL",1906,"NULL","2","NULL","21","NULL","Observations: Reported","NULL","1906","NULL","2","NULL","21","NULL","New Zealand"
241050,"Okataina",14510,"Confirmed Eruption","Waimangu (Echo Crater)","1","NULL","NULL",1905,"NULL","6","NULL","17","NULL","Observations: Reported","NULL","1905","NULL","6","NULL","17","NULL","New Zealand"
241050,"Okataina",14505,"Confirmed Eruption","Tarawera (Kaharoa eruption)","5","NULL","NULL",1310,"12","0","NULL","0","NULL","Isotopic: 14C (calibrated)","?","1315","NULL","0","NULL","0","NULL","New Zealand"
241050,"Okataina",14502,"Confirmed Eruption","Mt. Edgecumbe","NULL","NULL","NULL",-1330,"75","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241050,"Okataina",14525,"Confirmed Eruption","Waimangu (Raupo Pond, Inferno Crater)","1","NULL","NULL",1978,"NULL","2","NULL","23","NULL","Observations: Reported","NULL","1978","NULL","2","NULL","23","NULL","New Zealand"
241050,"Okataina",14500,"Confirmed Eruption","Haroharo (Makatiti and other domes)","5","NULL","NULL",-3580,"50","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241050,"Okataina",14524,"Confirmed Eruption","Waimangu (Echo Crater)","1","NULL","NULL",1973,"NULL","2","NULL","22","NULL","Observations: Reported","NULL","1973","NULL","2","NULL","22","NULL","New Zealand"
241050,"Okataina",14521,"Confirmed Eruption","Waimangu (Echo Crater)","1","NULL","NULL",1924,"NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241050,"Okataina",14504,"Confirmed Eruption","Te Kopia thermal area","NULL","NULL","?",180,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241050,"Okataina",14515,"Confirmed Eruption","Waimangu (Echo Crater)","1","NULL","NULL",1913,"NULL","1","NULL","27","NULL","Observations: Reported","NULL","1913","NULL","1","NULL","27","NULL","New Zealand"
241050,"Okataina",14503,"Confirmed Eruption","Mt. Edgecumbe","0","NULL","?",-300,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241070,"Taupo",14533,"Confirmed Eruption","Central, E-central L. Taupo (Opepe)","5","NULL","NULL",-8130,"200","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241070,"Taupo",14539,"Confirmed Eruption","4 km NW of Te Kohaiakahu Point","4","NULL","NULL",-3170,"200","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241070,"Taupo",14532,"Confirmed Eruption","Acacia Bay lava dome","4","NULL","?",-9210,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
