"Year","Mo","Dy","Tsu","Eq","Name","Location","Country","Latitude","Longitude","Elevation..m.","Type","Eruption","VEI","Agent","Deaths","Death.Description","Missing","Missing.Description","Injuries","Injuries.Description","Damage...Mil.","Damage.Description","Houses.Destroyed","Houses.Destroyed.Description","Total.Deaths","Total.Death.Description","Total.Missing","Total.Missing.Description","Total.Injuries","Total.Injuries.Description","Total.Damage...Mil.","Total.Damage.Description","Total.Houses.Destroyed","Total.Houses.Destroyed.Description"
1988,5,9,NA,NA,"Banda Api","Banda Sea","Pacific Ocean",-4.523,129.881,596,"Caldera","true",3,"T,L",4,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1988,7,6,NA,NA,"Arenal","Costa Rica","Costa Rica",10.463,-84.703,1670,"Stratovolcano","true",3,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1988,7,30,NA,NA,"Semeru","Java","Indonesia",-8.108,112.922,3657,"Stratovolcano","true",3,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1988,12,25,NA,NA,"Lonquimay","Chile-C","Chile",-38.379,-71.586,2832,"Stratovolcano","true",3,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1990,2,2,NA,NA,"Sheveluch","Kamchatka","Russia",56.653,161.36,3283,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1990,2,10,NA,NA,"Kelud","Java","Indonesia",-7.935,112.314,1730,"Stratovolcano","true",4,"T,P",35,1,NA,NA,NA,NA,NA,NA,NA,NA,35,1,NA,NA,NA,NA,NA,NA,NA,NA
1990,3,26,NA,NA,"Asosan","Kyushu-Japan","Japan",32.885,131.085,1592,"Caldera","true",2,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1990,4,18,NA,NA,"Asosan","Kyushu-Japan","Japan",32.885,131.085,1592,"Caldera","true",2,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1990,5,29,NA,NA,"Coropuna","Peru","Peru",-15.52,-72.65,6377,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1990,7,19,NA,NA,"Santa Maria","Guatemala","Guatemala",14.757,-91.552,3745,"Stratovolcano","true",3,"T",4,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1990,10,19,NA,NA,"Asosan","Kyushu-Japan","Japan",32.885,131.085,1592,"Caldera","true",2,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1991,6,3,NA,NA,"Unzendake","Kyushu-Japan","Japan",32.761,130.299,1483,"Complex volcano","true",1,"P",43,1,NA,NA,NA,NA,NA,NA,NA,NA,43,1,NA,NA,NA,NA,NA,NA,NA,NA
1991,6,15,NA,5292,"Pinatubo","Luzon-Philippines","Philippines",15.13,120.35,1486,"Stratovolcano","true",6,"P,m,I",350,3,NA,NA,4,1,NA,3,NA,NA,800,3,NA,NA,4,1,NA,3,NA,NA
1991,7,3,NA,NA,"Karthala","Indian O-W","Comoros",-11.75,43.38,2361,"Shield volcano","true",2,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1991,8,8,NA,NA,"Hudson, Cerro","Chile-S","Chile",-45.9,-72.97,1905,"Stratovolcano","true",5,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1991,10,24,NA,NA,"Lokon-Empung","Sulawesi-Indonesia","Indonesia",1.358,124.792,1580,"Stratovolcano","true",1,"T,P",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1991,12,14,NA,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",2,"",NA,NA,NA,NA,NA,NA,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2,NA,NA
1992,1,21,NA,NA,"Karangetang","Sangihe Is-Indonesia","Indonesia",2.781,125.407,1797,"Stratovolcano","true",2,"M",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1992,4,10,NA,NA,"Negro, Cerro","Nicaragua","Nicaragua",12.506,-86.702,728,"Cinder cone","true",3,"T,I",11,1,NA,NA,50,1,3,2,NA,1,11,1,NA,NA,50,1,3,2,NA,1
1992,5,11,NA,NA,"Karangetang","Sangihe Is-Indonesia","Indonesia",2.781,125.407,1797,"Stratovolcano","true",1,"P",6,1,NA,NA,1,1,NA,NA,NA,NA,6,1,NA,NA,1,1,NA,NA,NA,NA
1992,7,5,NA,NA,"Marapi","Sumatra","Indonesia",-0.38,100.474,2885,"Complex volcano","true",2,"T",1,1,NA,NA,5,1,NA,NA,NA,NA,1,1,NA,NA,5,1,NA,NA,NA,NA
1992,7,12,NA,NA,"Pinatubo","Luzon-Philippines","Philippines",15.13,120.35,1486,"Stratovolcano","true",1,"m",6,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA
1992,9,17,NA,NA,"Spurr","Alaska-SW","United States",61.299,-152.251,3374,"Stratovolcano","true",4,"I",1,1,NA,NA,NA,NA,2,2,NA,NA,1,1,NA,NA,NA,NA,2,2,NA,NA
1992,NA,NA,NA,NA,"Semeru","Java","Indonesia",-8.108,112.922,3657,"Stratovolcano","true",3,"T",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1993,1,14,NA,NA,"Galeras","Colombia","Colombia",1.22,-77.37,4276,"Complex volcano","true",2,"T",9,1,NA,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA
