"Volcano Number","Volcano Name","Country","Volcanic Region Group","Volcanic Region","Volcano Landform","Primary Volcano Type","Activity Evidence","Last Known Eruption","Latitude","Longitude","Elevation (m)","Dominant Rock Type","Tectonic Setting"
"353802","Rabida","Ecuador","Eastern Pacific Volcanic Regions","Galapagos Hotspot Volcano Group","Minor","Lava dome(s)",NA,NA,"-0.41299999999999998","-90.707999999999998","338",NA,"Rift zone / Oceanic crust (< 15 km)"
"353803","Pinzon","Ecuador","Eastern Pacific Volcanic Regions","Galapagos Hotspot Volcano Group","Shield","Shield",NA,NA,"-0.6","-90.68","458",NA,"Rift zone / Oceanic crust (< 15 km)"
"353804","Santa Fe","Ecuador","Eastern Pacific Volcanic Regions","Galapagos Hotspot Volcano Group","Shield","Shield",NA,NA,"-0.80600000000000005","-90.07","200",NA,"Rift zone / Oceanic crust (< 15 km)"
"353805","Floreana","Ecuador","Eastern Pacific Volcanic Regions","Galapagos Hotspot Volcano Group","Shield","Shield",NA,NA,"-1.3","-90.45","640",NA,"Rift zone / Oceanic crust (< 15 km)"
"353807","Roca Redonda","Ecuador","Eastern Pacific Volcanic Regions","Galapagos Hotspot Volcano Group","Shield","Shield",NA,NA,"0.27","-91.63","67",NA,"Rift zone / Oceanic crust (< 15 km)"
"354002","Sara Sara","Peru","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-15.3299","-73.445599999999999","5490","Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)"
"354007","Chachani Volcanic Complex","Peru","South America Volcanic Regions","Central Andean Volcanic Arc","Cluster","Stratovolcano",NA,NA,"-16.179200000000002","-71.529200000000003","6059","Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)"
"354008","Yura Volcanic Field","Peru","South America Volcanic Regions","Central Andean Volcanic Arc","Cluster","Volcanic field",NA,NA,"-16.213000000000001","-71.724999999999994","3175","Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)"
"354801","Huambutillo-Rumicola","Peru","South America Volcanic Regions","Central Andean Volcanic Arc","Unknown","Unknown",NA,NA,"-13.58","-71.72","0",NA,"Subduction zone / Continental crust (>25 km)"
"354802","Firura, Nevados","Peru","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano(es)",NA,NA,"-15.23","-72.63","5498",NA,"Subduction zone / Continental crust (>25 km)"
"354803","Solimana","Peru","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-15.4","-72.900000000000006","6093",NA,"Subduction zone / Continental crust (>25 km)"
"354804","Purupuruni, Cerros","Peru","South America Volcanic Regions","Central Andean Volcanic Arc","Minor","Lava dome(s)",NA,NA,"-17.258700000000001","-69.821600000000004","4591",NA,"Subduction zone / Continental crust (>25 km)"
"355010","Tacora","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano(es)",NA,NA,"-17.7209","-69.772800000000004","5960","Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)"
"355021","Tambo Quemado","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Shield","Shield(pyroclastic)",NA,NA,"-18.62","-68.75","4215","Rhyolite","Subduction zone / Continental crust (>25 km)"
"355035","Jayu Khota, Laguna","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Minor","Maar(s)",NA,NA,"-19.463000000000001","-67.432000000000002","3650","Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)"
"355036","Jatun Mundo Quri Warani","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Minor","Lava dome(s)",NA,NA,"-19.78","-66.48","5438","Dacite","Subduction zone / Continental crust (>25 km)"
"355042","Pampa Luxsar","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Cluster","Volcanic field",NA,NA,"-20.85","-68.2","5543","Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)"
"355060","Ollague","Chile-Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-21.3","-68.180000000000007","5868","Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)"
"355061","Azufre, Cerro del","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-21.786999999999999","-68.236999999999995","5846","Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)"
"355065","Inacalari","Chile-Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-21.981000000000002","-68.070999999999998","5618",NA,"Subduction zone / Continental crust (>25 km)"
"355070","San Pedro-San Pablo","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano(es)",NA,NA,"-21.888000000000002","-68.391000000000005","6142","Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)"
"355097","Overo, Cerro","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Minor","Maar",NA,NA,"-23.52","-67.662000000000006","4576","Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)"
