"Volcano Number","Volcano Name","Eruption Number","Eruption Category","Area of Activity","VEI","VEI Modifier","Start Year Modifier","Start Year","Start Year Uncertainty","Start Month","Start Day Modifier","Start Day","Start Day Uncertainty","Evidence Method (dating)","End Year Modifier","End Year","End Year Uncertainty","End Month","End Day Modifier","End Day","End Day Uncertainty"
"257040","Ambrym","15259","Confirmed Eruption","Benbow and west flank","2","NULL","NULL","1937","NULL","3","NULL","27","NULL","Observations: Reported","NULL","1937","NULL","4","NULL","0","NULL"
"267020","Karangetang","16497","Confirmed Eruption","NULL","2","NULL","NULL","1864","NULL","6","NULL","6","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"267020","Karangetang","16506","Confirmed Eruption","Crater IV","2","NULL","NULL","1922","NULL","5","NULL","4","NULL","Observations: Reported","NULL","1922","NULL","12","NULL","13","NULL"
"267020","Karangetang","16531","Confirmed Eruption","NULL","1","NULL","NULL","1980","NULL","3","NULL","24","NULL","Observations: Reported","NULL","1980","NULL","9","NULL","13","NULL"
"267020","Karangetang","16540","Confirmed Eruption","NULL","2","NULL","NULL","2004","NULL","4","?","2","NULL","Observations: Reported","NULL","2005","NULL","8","?","5","NULL"
"268010","Dukono","16574","Confirmed Eruption","East flank of Tolo","NULL","NULL","NULL","1719","150","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"275080","Popa","22356","Confirmed Eruption","NULL","3","NULL","?","-6050","NULL","NULL","NULL","NULL","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"282080","Aira","17042","Confirmed Eruption","Kita-dake","4","NULL","?","-2900","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"283030","Fujisan","17442","Confirmed Eruption","South flank ?","2","?","NULL","999","NULL","3","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"283030","Fujisan","17399","Confirmed Eruption","NULL","NULL","NULL","NULL","-4120","300","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"283030","Fujisan","17408","Confirmed Eruption","NULL","NULL","NULL","NULL","-1450","100","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"283030","Fujisan","17433","Confirmed Eruption","Summit, NE and NW flanks (Tenjin-yama)","4","NULL","NULL","800","NULL","4","NULL","11","NULL","Observations: Reported","NULL","802","NULL","2",">","6","NULL"
"283110","Asamayama","17676","Confirmed Eruption","NULL","4","NULL","NULL","350","10","11","NULL","15","15","Correlation: Anthropology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"352080","Tungurahua","11625","Confirmed Eruption","NULL","2","NULL","NULL","1557","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"352080","Tungurahua","11632","Confirmed Eruption","NULL","3","NULL","NULL","1773","NULL","2","NULL","4","NULL","Observations: Reported","NULL","1773","NULL","7","?","0","NULL"
"352080","Tungurahua","22214","Confirmed Eruption","Summit crater","2","NULL","NULL","2011","NULL","4","NULL","20","NULL","Observations: Reported","NULL","2011","NULL","5","NULL","26","NULL"
"357111","Sollipulli","12018","Confirmed Eruption","North flank (Redondo, Chufquén)","NULL","NULL","NULL","1240","50","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
